1;1;0;206;0;0;0;0;0;0;0;0;0
2;2;0;206;0;-1;1;0;0;0;0;0;0
3;3;0;207;0;0;0;0;0;0;0;0;0
4;4;0;206;0;13;0;1007;1007;0;1005;1005;CHR
5;8;0;0;0;4;12;1017;1017;0;1018;1018;STR,2,CON,2,WILL,1,LUCK,1
6;8;0;0;0;4;12;1019;1019;0;1020;1020;INT,2,WILL,2,WILL,1,LUCK,1
7;6;0;0;0;0;0;0;0;0;0;0;0
8;7;0;0;0;0;0;0;0;0;0;0;0
9;9;0;0;0;2;0;0;0;0;0;0;STR,1,CON,1
10;9;0;0;0;2;0;0;0;0;0;0;INT,1,WILL,1
11;10;0;0;0;2;0;1021;1021;0;1022;1022;0
12;5;0;0;0;0;1;0;0;0;0;0;0
13;5;0;0;0;1;1;0;0;0;0;0;0
14;5;0;0;0;2;40;0;0;0;0;0;0
15;5;0;0;0;3;300;0;0;0;0;0;0
16;5;0;0;0;4;1000;0;0;0;0;0;0
17;11;0;206;0;0;0;0;0;0;0;0;0
18;13;0;0;0;1;0;0;0;0;0;0;0
19;14;0;0;0;1;0;0;0;0;0;0;0
20;23;34;0;0;0;0;0;0;0;0;0;0
21;8;0;0;0;4;12;1031;1031;0;1032;1032;CHR,2,LUCK,1
22;8;0;0;0;4;12;1017;1017;0;1018;1018;STR,2,CON,2,WILL,1,LUCK,1
23;8;0;0;0;4;12;1019;1019;0;1020;1020;INT,2,WILL,2,WILL,1,LUCK,1
24;8;0;0;0;4;12;1026;1026;0;1027;1027;STR,2,CON,2,WILL,1,LUCK,1
25;8;0;0;0;4;12;1028;1028;0;1029;1029;STR,2,CON,2,WILL,1,LUCK,1
26;17;0;0;0;0;0;0;0;0;0;0;0
27;18;0;0;0;0;0;0;0;0;0;0;0
28;18;0;0;0;1;0;0;0;0;0;0;0
29;19;0;209;0;1039;0;0;0;0;0;0;0
30;20;0;209;0;1036;0;0;0;0;0;0;0
31;21;0;0;0;4;1;0;0;0;0;0;0
32;15;31;0;0;1;0;0;0;0;0;0;0
33;22;0;0;0;0;0;0;0;0;0;0;0
34;15;0;0;0;0;0;0;0;0;0;0;0
