1;1;255;0;255;adr;0;7;10;1;1;1;1;1;1;1;-1;22;22;346;20;2;20;13;3;4;1;1;MAX;2;4;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;50;0;0;0;100;100;100;0;0;0;0;0;0;0;1,1005;1,1008;1,1007;1,1006;0;0;2001;2002;-1;-1;2003;-1;-1;2004;-1;
2;1;255;0;255;adr;0;1;1;1;1;1;1;1;1;1;1;22;6;350;20;2;4;13;3;10;1;1;MAX;2;4;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;50;0;0;0;100;100;100;0;0;0;0;0;0;0;-1;-1;-1;-1;0;0;2001;2002;-1;-1;2003;-1;-1;2004;-1;
200;0;255;0;255;skelly;0;10;0;0;0;0;0;0;0;0;0;8;6;300;8;2;6;8;0;3;1;0;DUB;2;3;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;15;1;1;1;100;50;50;5;0;0;0;0;10;0;-1;1,100;4,100,101,102,103;-1;1;0;2510;2511;-1;-1;-1;-1;-1;2512;-1;
201;0;255;0;255;skelly2;0;10;1;0;0;0;0;0;0;0;0;2;2;300;2;2;2;8;0;3;1;0;DUB;1;3;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;5;0;1;1;80;50;25;15;0;0;0;1;10;1;-1;1,100;2,102,103;-1;1;0;2501;2502;-1;-1;-1;-1;-1;2503;-1;
202;0;255;0;255;skelly3;0;10;2;0;0;0;0;0;0;0;0;2;2;300;2;2;2;8;0;3;1;0;DUB;1;3;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;5;0;1;1;80;50;25;15;0;0;0;1;10;2;-1;1,100;2,102,103;-1;1;0;2501;2502;-1;-1;-1;-1;-1;2503;-1;
203;0;255;0;255;skelly4;0;10;3;0;0;0;0;0;0;0;0;2;2;300;2;2;2;8;0;3;1;0;DUB;1;3;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;5;0;1;1;80;50;25;15;0;0;0;1;10;3;-1;1,100;2,102,103;-1;1;0;2501;2502;-1;-1;-1;-1;-1;2503;-1;
204;0;255;0;255;skelly5;0;9;3;0;0;0;0;0;0;0;0;2;2;300;2;2;2;8;0;3;1;0;DUB;1;3;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;5;0;1;1;80;50;25;15;0;0;0;1;9;3;-1;1,100;2,102,103;-1;1;0;2501;2502;-1;-1;-1;-1;-1;2503;-1;
205;0;255;0;255;skelly6;0;9;15;0;0;0;0;0;0;0;0;2;2;300;2;2;2;8;0;3;1;0;DUB;1;3;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;5;0;1;1;80;50;25;15;0;0;0;1;9;15;-1;1,100;3,100,102,103;-1;1;0;2501;2502;-1;-1;-1;-1;-1;2503;-1;
206;0;255;0;255;red_robe;0;3;4;0;0;0;0;0;0;0;0;15;10;300;15;2;10;10;0;5;1;0;MAX;1;3;8;3;0;0;0;0;0;0;0;0;0;1000;1016;1025;1025;1033;1023;-1;30;0;3;3;100;50;25;25;0;0;0;0;5;9;-1;1,100;4,100,101,102,103;-1;1;0;4500;-1;-1;-1;-1;-1;-1;-1;-1;
207;0;255;0;255;red_robe;0;1;2;0;0;0;0;0;0;0;0;15;10;300;15;2;10;10;0;5;1;0;MAX;1;3;8;3;0;0;0;0;0;0;0;0;0;1004;1016;1025;1025;1033;1023;-1;100;0;3;3;100;50;25;25;0;0;0;0;1;2;-1;1,100;4,100,101,102,103;-1;1;0;4500;-1;-1;-1;-1;-1;-1;-1;-1;
208;0;255;0;255;guard1;0;0;3;1;1;1;0;0;0;0;1;17;6;350;15;2;6;10;1;6;1;0;MAX;2;3;8;3;0;0;0;0;0;0;0;0;0;1024;1008;1008;1008;0;1013;-1;15;0;4;4;100;50;25;5;0;0;0;0;0;3;-1;1,100;4,100,101,102,103;-1;1;0;2001;2002;-1;-1;2003;-1;-1;2004;-1;
209;0;255;0;255;Richter;0;1;1;1;1;1;0;0;0;0;0;17;10;350;15;2;10;11;1;6;1;0;DUB;2;4;8;3;0;0;0;0;0;0;0;0;0;1035;0;0;0;0;0;5500;30;0;3;3;80;50;25;0;0;0;0;0;1;1;-1;1,100;4,100,101,102,103;-1;1;0;2001;2002;-1;-1;2003;-1;-1;2004;-1;
210;0;255;0;255;jail_guard;0;3;3;1;1;1;0;0;0;0;1;17;6;350;15;2;6;10;1;6;1;0;MAX;2;3;8;3;0;0;0;0;0;0;0;0;0;1042;1008;1008;1008;0;1013;-1;15;0;4;4;100;50;25;5;0;0;0;0;3;3;-1;1,100;4,100,101,102,103;-1;1;0;2001;2002;-1;-1;2003;-1;-1;2004;-1;
